ticket_id,event_id,customer_id,sale_date,price,ticket_type
76,1,3516,2025-01-05,150,Early Bird
77,1,9396,2025-01-05,200,Early Bird
78,1,7696,2025-01-05,150,General
79,1,5765,2025-01-05,150,Early Bird
80,1,8952,2025-01-05,75,VIP
81,1,4746,2025-01-05,150,Early Bird
82,1,9686,2025-01-05,150,Early Bird
83,1,6102,2025-01-05,100,Early Bird
84,1,1818,2025-01-06,150,General
85,1,905,2025-01-06,50,General
86,1,1362,2025-01-06,100,Early Bird
87,1,6930,2025-01-06,75,VIP
88,1,7904,2025-01-06,100,General
89,1,8909,2025-01-06,50,Early Bird
90,1,5786,2025-01-06,75,General
91,1,5003,2025-01-06,200,General
92,1,5178,2025-01-06,75,General
93,1,6917,2025-01-06,50,General
94,1,6821,2025-01-06,75,Early Bird
95,1,221,2025-01-06,75,Early Bird
96,1,1135,2025-01-06,50,Early Bird
97,1,830,2025-01-06,100,Early Bird
98,1,8577,2025-01-06,50,General
99,1,4665,2025-01-06,150,Early Bird
100,1,564,2025-01-06,50,General
101,1,8969,2025-01-06,200,General
102,1,6641,2025-01-06,150,VIP
103,1,2669,2025-01-07,150,General
104,1,4856,2025-01-07,75,Early Bird
105,1,4904,2025-01-07,200,VIP
106,1,784,2025-01-07,100,General
107,1,7327,2025-01-07,200,General
108,1,3052,2025-01-07,150,VIP
109,1,8742,2025-01-07,200,Early Bird
110,1,6055,2025-01-07,50,Early Bird
111,1,7981,2025-01-07,150,General
112,1,7305,2025-01-07,75,VIP
113,1,1881,2025-01-07,150,VIP
114,1,2357,2025-01-07,100,VIP
115,1,795,2025-01-07,100,Early Bird
116,1,7549,2025-01-07,100,VIP
117,1,4857,2025-01-07,75,VIP
118,1,3224,2025-01-07,75,Early Bird
119,1,2005,2025-01-07,50,VIP
120,1,4095,2025-01-07,75,Early Bird
121,1,1960,2025-01-07,50,Early Bird
122,1,2393,2025-01-07,150,VIP
123,1,6262,2025-01-07,200,General
124,1,6437,2025-01-07,50,VIP
125,1,4617,2025-01-07,50,Early Bird
126,1,8468,2025-01-07,75,Early Bird
127,1,8231,2025-01-08,150,General
128,1,8959,2025-01-08,150,General
129,1,4803,2025-01-08,50,VIP
130,1,5208,2025-01-08,75,General
131,1,8133,2025-01-08,150,Early Bird
132,1,3421,2025-01-08,75,Early Bird
133,1,3152,2025-01-08,200,General
134,1,9593,2025-01-08,50,VIP
135,1,7215,2025-01-08,75,General
136,1,9472,2025-01-08,75,Early Bird
137,1,5063,2025-01-08,200,Early Bird
138,1,3449,2025-01-08,75,Early Bird
139,1,5811,2025-01-08,150,General
140,1,8161,2025-01-08,50,Early Bird
141,1,8830,2025-01-08,150,VIP
142,1,3079,2025-01-08,200,General
143,1,3074,2025-01-08,100,General
144,1,241,2025-01-08,200,Early Bird
145,1,755,2025-01-09,75,General
146,1,1399,2025-01-09,75,VIP
147,1,5646,2025-01-09,100,Early Bird
148,1,277,2025-01-09,75,Early Bird
149,1,3964,2025-01-09,200,General
150,1,9202,2025-01-09,100,Early Bird
151,1,5908,2025-01-09,100,VIP
152,1,1494,2025-01-09,150,General
153,1,6479,2025-01-09,150,Early Bird
154,1,7716,2025-01-09,150,Early Bird
155,1,6290,2025-01-09,150,General
156,1,7879,2025-01-09,75,VIP
157,1,7894,2025-01-09,100,General
158,1,9561,2025-01-09,50,Early Bird
159,1,5270,2025-01-09,100,VIP
160,1,8344,2025-01-09,100,Early Bird
161,1,4073,2025-01-09,150,Early Bird
162,1,3439,2025-01-10,50,General
163,1,2264,2025-01-10,150,Early Bird
164,1,6527,2025-01-10,200,VIP
165,1,8890,2025-01-10,50,General
166,1,5275,2025-01-10,200,General
167,1,2712,2025-01-10,150,General
168,1,4833,2025-01-10,75,General
169,1,9496,2025-01-10,100,General
170,1,7912,2025-01-10,200,VIP
171,1,8148,2025-01-10,200,VIP
172,1,7630,2025-01-10,50,General
173,1,1143,2025-01-10,150,Early Bird
174,1,2275,2025-01-10,100,General
175,1,5852,2025-01-10,200,Early Bird
176,1,5035,2025-01-10,200,General
177,1,6453,2025-01-10,75,General
178,1,5033,2025-01-10,50,Early Bird
179,1,8797,2025-01-11,50,General
180,1,5442,2025-01-11,100,VIP
181,1,3586,2025-01-11,50,Early Bird
182,1,406,2025-01-11,75,General
183,1,1170,2025-01-11,50,General
184,1,5735,2025-01-11,100,Early Bird
185,1,3403,2025-01-11,150,Early Bird
186,1,7796,2025-01-11,150,Early Bird
187,1,6581,2025-01-11,200,Early Bird
188,1,8692,2025-01-11,200,VIP
189,1,607,2025-01-11,100,Early Bird
190,1,3842,2025-01-11,75,Early Bird
191,1,1328,2025-01-11,100,Early Bird
192,1,2926,2025-01-11,200,VIP
193,1,8184,2025-01-11,75,General
194,1,453,2025-01-11,200,VIP
195,1,3078,2025-01-11,50,General
196,1,7647,2025-01-11,75,General
197,1,1846,2025-01-11,100,VIP
198,1,7409,2025-01-11,75,VIP
199,1,4616,2025-01-12,50,Early Bird
200,1,8515,2025-01-12,200,VIP
201,1,4511,2025-01-12,50,VIP
202,1,9548,2025-01-12,50,VIP
203,1,8865,2025-01-12,75,General
204,1,4789,2025-01-12,200,General
205,1,4726,2025-01-12,50,General
206,1,6235,2025-01-12,200,General
207,1,4020,2025-01-12,200,Early Bird
208,1,6146,2025-01-12,100,Early Bird
209,1,9530,2025-01-12,50,General
210,1,744,2025-01-12,100,General
211,1,3055,2025-01-12,150,VIP
212,1,2174,2025-01-12,200,General
213,1,2775,2025-01-12,50,Early Bird
214,1,8434,2025-01-12,75,General
215,1,8322,2025-01-12,200,VIP
216,1,5479,2025-01-12,150,General
217,1,772,2025-01-12,75,Early Bird
218,1,2871,2025-01-12,200,VIP
219,1,6229,2025-01-12,50,Early Bird
220,1,4136,2025-01-12,50,General
221,1,4041,2025-01-12,150,General
222,1,3326,2025-01-12,75,Early Bird
223,1,4494,2025-01-12,75,General
224,1,3545,2025-01-12,75,General
225,1,7325,2025-01-12,50,Early Bird
226,1,4252,2025-01-13,150,VIP
227,1,1695,2025-01-13,150,Early Bird
228,1,1702,2025-01-13,75,General
229,1,301,2025-01-13,50,Early Bird
230,1,7211,2025-01-13,50,General
231,1,6905,2025-01-13,50,VIP
232,1,4978,2025-01-13,150,General
233,1,4509,2025-01-13,75,General
234,1,7160,2025-01-13,50,General
235,1,1267,2025-01-13,200,Early Bird
236,1,5833,2025-01-13,50,VIP
237,1,8943,2025-01-13,75,Early Bird
238,1,169,2025-01-13,100,Early Bird
239,1,1957,2025-01-13,200,VIP
240,1,6164,2025-01-13,75,General
241,1,58,2025-01-13,200,Early Bird
242,1,6682,2025-01-13,75,General
243,1,8478,2025-01-13,100,Early Bird
244,1,4204,2025-01-13,75,VIP
245,1,3415,2025-01-13,150,VIP
246,1,5331,2025-01-14,75,Early Bird
247,1,1430,2025-01-14,50,Early Bird
248,1,6689,2025-01-14,75,VIP
249,1,110,2025-01-14,100,Early Bird
250,1,3008,2025-01-14,50,General
251,1,3082,2025-01-14,100,General
252,1,6824,2025-01-14,50,General
253,1,7801,2025-01-14,100,General
254,1,8110,2025-01-14,200,Early Bird
255,1,2736,2025-01-14,150,Early Bird
256,1,4328,2025-01-14,200,General
257,1,9187,2025-01-14,100,General
258,1,2032,2025-01-14,200,Early Bird
259,1,6704,2025-01-14,100,General
260,1,999,2025-01-14,75,Early Bird
261,1,3821,2025-01-14,100,VIP
262,1,476,2025-01-14,75,General
263,1,2742,2025-01-14,200,General
264,1,613,2025-01-15,100,VIP
265,1,6695,2025-01-15,150,General
266,1,5056,2025-01-15,50,General
267,1,7039,2025-01-15,200,Early Bird
268,1,6515,2025-01-15,100,General
269,1,360,2025-01-15,200,VIP
270,1,9806,2025-01-15,50,General
271,1,7329,2025-01-15,75,VIP
272,1,6065,2025-01-15,50,General
273,1,2731,2025-01-15,100,General
274,1,8472,2025-01-15,150,VIP
275,1,6625,2025-01-15,200,VIP
276,1,9505,2025-01-15,200,VIP
277,1,9341,2025-01-15,150,VIP
278,1,195,2025-01-15,75,General
279,1,9571,2025-01-15,50,VIP
280,1,795,2025-01-15,50,Early Bird
281,1,7250,2025-01-15,75,General
282,1,5253,2025-01-16,75,VIP
283,1,9470,2025-01-16,50,VIP
284,1,3577,2025-01-16,50,VIP
285,1,8885,2025-01-16,200,General
286,1,3322,2025-01-16,150,General
287,1,1761,2025-01-16,200,VIP
288,1,4912,2025-01-16,100,General
289,1,3814,2025-01-16,75,Early Bird
290,1,5345,2025-01-16,200,General
291,1,6069,2025-01-16,150,Early Bird
292,1,8834,2025-01-16,50,VIP
293,1,1468,2025-01-16,150,Early Bird
294,1,1809,2025-01-16,50,VIP
295,1,4965,2025-01-16,75,General
296,1,7097,2025-01-16,75,VIP
297,1,4142,2025-01-17,200,Early Bird
298,1,2356,2025-01-17,50,VIP
299,1,2437,2025-01-17,100,VIP
300,1,4149,2025-01-17,75,Early Bird
301,1,5023,2025-01-17,50,General
302,1,9292,2025-01-17,100,General
303,1,9547,2025-01-17,75,General
304,1,2725,2025-01-17,50,General
305,1,3361,2025-01-17,200,VIP
306,1,3420,2025-01-17,150,VIP
307,1,4719,2025-01-17,200,Early Bird
308,1,7659,2025-01-17,150,VIP
309,1,8970,2025-01-17,150,VIP
310,1,6214,2025-01-17,200,General
311,1,2380,2025-01-17,100,VIP
312,1,8430,2025-01-17,200,Early Bird
313,1,9572,2025-01-17,100,VIP
314,1,506,2025-01-17,100,VIP
315,1,6396,2025-01-17,75,General
316,1,7492,2025-01-17,100,VIP
317,1,6661,2025-01-18,50,General
318,1,8650,2025-01-18,100,VIP
319,1,4531,2025-01-18,150,General
320,1,3938,2025-01-18,50,General
321,1,6975,2025-01-18,200,General
322,1,5108,2025-01-18,50,Early Bird
323,1,907,2025-01-18,50,General
324,1,8433,2025-01-18,75,General
325,1,2330,2025-01-18,150,Early Bird
326,1,2609,2025-01-18,75,General
327,1,5367,2025-01-18,150,VIP
328,1,6557,2025-01-18,100,General
329,1,1960,2025-01-18,150,General
330,1,5125,2025-01-18,150,Early Bird
331,1,8307,2025-01-18,50,Early Bird
332,1,8678,2025-01-18,50,Early Bird
333,1,6745,2025-01-18,50,Early Bird
334,1,7130,2025-01-18,100,VIP
335,1,3811,2025-01-19,50,General
336,1,5435,2025-01-19,200,General
337,1,7983,2025-01-19,50,VIP
338,1,8795,2025-01-19,50,VIP
339,1,4989,2025-01-19,50,General
340,1,5785,2025-01-19,200,General
341,1,7588,2025-01-19,150,VIP
342,1,4840,2025-01-19,50,General
343,1,6370,2025-01-19,50,VIP
344,1,3371,2025-01-19,75,VIP
345,1,2800,2025-01-19,50,General
346,1,4894,2025-01-19,100,VIP
347,1,2422,2025-01-19,200,VIP
348,1,7161,2025-01-19,150,VIP
349,1,9106,2025-01-19,75,VIP
350,1,7097,2025-01-19,75,General
351,1,3470,2025-01-19,75,General
352,1,1981,2025-01-20,50,Early Bird
353,1,5665,2025-01-20,150,General
354,1,1719,2025-01-20,100,Early Bird
355,1,4103,2025-01-20,200,Early Bird
356,1,2012,2025-01-20,100,VIP
357,1,4759,2025-01-20,150,Early Bird
358,1,2898,2025-01-20,150,Early Bird
359,1,8452,2025-01-20,100,VIP
360,1,3235,2025-01-20,50,General
361,1,3553,2025-01-20,50,Early Bird
362,1,785,2025-01-20,50,VIP
363,1,7341,2025-01-20,75,Early Bird
364,1,1518,2025-01-20,75,Early Bird
365,1,182,2025-01-20,150,General
366,1,4735,2025-01-20,150,VIP
367,1,2684,2025-01-20,150,VIP
368,1,5452,2025-01-20,150,General
369,1,8074,2025-01-20,50,VIP
370,1,8506,2025-01-20,200,General
371,1,5582,2025-01-20,200,General
372,1,1038,2025-01-20,75,Early Bird
373,1,4712,2025-01-20,150,General
374,1,4042,2025-01-20,50,General
375,1,8307,2025-01-21,100,VIP
376,1,2163,2025-01-21,150,VIP
377,1,1486,2025-01-21,50,VIP
378,1,6134,2025-01-21,100,Early Bird
379,1,5074,2025-01-21,200,General
380,1,8309,2025-01-21,50,General
381,1,5079,2025-01-21,50,VIP
382,1,7410,2025-01-21,200,VIP
383,1,7496,2025-01-21,150,General
384,1,9495,2025-01-21,100,General
385,1,6286,2025-01-21,50,Early Bird
386,1,8042,2025-01-21,100,Early Bird
387,1,4003,2025-01-21,75,Early Bird
388,1,709,2025-01-22,200,General
389,1,2203,2025-01-22,200,Early Bird
390,1,8720,2025-01-22,100,Early Bird
391,1,6980,2025-01-22,50,VIP
392,1,9900,2025-01-22,75,Early Bird
393,1,1433,2025-01-22,50,VIP
394,1,499,2025-01-22,75,General
395,1,8061,2025-01-22,100,Early Bird
396,1,8076,2025-01-22,200,Early Bird
397,1,2459,2025-01-22,50,Early Bird
398,1,2972,2025-01-22,100,Early Bird
399,1,7569,2025-01-22,200,VIP
400,1,8738,2025-01-22,150,Early Bird
401,1,9739,2025-01-22,200,VIP
402,1,4110,2025-01-22,75,Early Bird
403,1,6349,2025-01-22,50,General
404,1,1835,2025-01-22,150,Early Bird
405,1,7772,2025-01-22,150,Early Bird
406,1,9952,2025-01-22,50,VIP
407,1,5735,2025-01-23,150,Early Bird
408,1,2267,2025-01-23,200,Early Bird
409,1,9084,2025-01-23,100,General
410,1,1302,2025-01-23,150,VIP
411,1,9148,2025-01-23,50,General
412,1,4914,2025-01-23,75,VIP
413,1,5871,2025-01-23,100,General
414,1,8521,2025-01-23,150,VIP
415,1,9821,2025-01-23,200,VIP
416,1,6318,2025-01-23,75,General
417,1,9160,2025-01-23,75,VIP
418,1,7511,2025-01-23,150,General
419,1,2061,2025-01-23,75,Early Bird
420,1,7252,2025-01-23,200,Early Bird
421,1,1579,2025-01-23,200,Early Bird
422,1,1000,2025-01-23,100,Early Bird
423,1,2932,2025-01-23,200,General
424,1,2516,2025-01-23,200,VIP
425,1,602,2025-01-23,50,General
426,1,2923,2025-01-23,100,General
427,1,958,2025-01-23,150,Early Bird
428,1,9939,2025-01-24,75,General
429,1,5324,2025-01-24,75,VIP
430,1,808,2025-01-24,50,Early Bird
431,1,4192,2025-01-24,150,Early Bird
432,1,9301,2025-01-24,75,General
433,1,8651,2025-01-24,50,VIP
434,1,6918,2025-01-24,50,General
435,1,7413,2025-01-24,50,Early Bird
436,1,1368,2025-01-24,100,General
437,1,9873,2025-01-24,200,General
438,1,7238,2025-01-24,75,VIP
439,1,5098,2025-01-24,200,Early Bird
440,1,7855,2025-01-24,200,Early Bird
441,1,2544,2025-01-24,200,Early Bird
442,1,5715,2025-01-24,150,General
443,1,6789,2025-01-24,50,General
444,1,4550,2025-01-24,150,General
445,1,4880,2025-01-24,200,Early Bird
446,1,1417,2025-01-24,200,VIP
447,1,6676,2025-01-24,200,General
448,1,8482,2025-01-24,50,Early Bird
449,1,7577,2025-01-24,150,VIP
450,1,889,2025-01-25,100,Early Bird
451,1,8291,2025-01-25,75,General
452,1,8759,2025-01-25,50,VIP
453,1,6226,2025-01-25,100,Early Bird
454,1,354,2025-01-25,200,Early Bird
455,1,66,2025-01-25,75,Early Bird
456,1,3971,2025-01-25,150,Early Bird
457,1,6848,2025-01-25,100,VIP
458,1,3087,2025-01-25,50,Early Bird
459,1,8898,2025-01-25,75,General
460,1,7549,2025-01-25,50,VIP
461,1,5517,2025-01-25,200,General
462,1,1621,2025-01-25,150,VIP
463,1,7298,2025-01-25,100,VIP
464,1,5354,2025-01-25,50,General
465,1,4212,2025-01-26,75,VIP
466,1,127,2025-01-26,200,General
467,1,5971,2025-01-26,100,Early Bird
468,1,2115,2025-01-26,150,General
469,1,1169,2025-01-26,50,General
470,1,7783,2025-01-26,200,VIP
471,1,8113,2025-01-26,200,VIP
472,1,2464,2025-01-26,75,Early Bird
473,1,6458,2025-01-26,150,Early Bird
474,1,1923,2025-01-26,200,General
475,1,2048,2025-01-26,150,Early Bird
476,1,3665,2025-01-27,150,Early Bird
477,1,7605,2025-01-27,150,Early Bird
478,1,1637,2025-01-27,50,VIP
479,1,5280,2025-01-27,50,Early Bird
480,1,4654,2025-01-27,100,General
481,1,9062,2025-01-27,50,VIP
482,1,1640,2025-01-27,50,Early Bird
483,1,8650,2025-01-27,150,General
484,1,8943,2025-01-27,100,VIP
485,1,9923,2025-01-27,50,VIP
486,1,362,2025-01-27,200,Early Bird
487,1,5157,2025-01-27,75,General
488,1,3218,2025-01-27,150,VIP
489,1,5424,2025-01-27,200,Early Bird
490,1,3005,2025-01-27,75,VIP
491,1,7811,2025-01-27,150,VIP
492,1,7314,2025-01-27,50,VIP
493,1,4652,2025-01-27,200,Early Bird
494,1,8424,2025-01-27,150,General
495,1,6214,2025-01-27,100,Early Bird
496,1,4355,2025-01-27,50,Early Bird
497,1,5253,2025-01-27,150,Early Bird
498,1,7408,2025-01-27,100,Early Bird
499,1,4717,2025-01-27,150,VIP
500,1,4694,2025-01-27,200,General
501,1,5271,2025-01-28,100,Early Bird
502,1,4128,2025-01-28,150,General
503,1,6327,2025-01-28,100,VIP
504,1,7308,2025-01-28,200,VIP
505,1,19,2025-01-28,75,General
506,1,6210,2025-01-28,150,General
507,1,8646,2025-01-28,75,Early Bird
508,1,1253,2025-01-28,100,General
509,1,1980,2025-01-28,150,General
510,1,9206,2025-01-28,75,VIP
511,1,8306,2025-01-28,200,General
512,1,2754,2025-01-28,150,VIP
513,1,5575,2025-01-28,200,Early Bird
514,1,5207,2025-01-28,75,General
515,1,3293,2025-01-28,200,Early Bird
516,1,7320,2025-01-28,75,VIP
517,1,4537,2025-01-28,200,VIP
518,1,3923,2025-01-28,200,Early Bird
519,1,5781,2025-01-29,200,General
520,1,9573,2025-01-29,200,General
521,1,6643,2025-01-29,150,General
522,1,4898,2025-01-29,100,VIP
523,1,9154,2025-01-29,150,General
524,1,911,2025-01-29,200,VIP
525,1,100,2025-01-29,200,Early Bird
526,1,1414,2025-01-29,50,VIP
527,1,2636,2025-01-29,50,Early Bird
528,1,4857,2025-01-29,50,General
529,1,3570,2025-01-29,100,General
530,1,4917,2025-01-29,75,General
531,1,6917,2025-01-30,200,Early Bird
532,1,1836,2025-01-30,75,VIP
533,1,3772,2025-01-30,200,Early Bird
534,1,1693,2025-01-30,75,General
535,1,665,2025-01-30,150,General
536,1,2523,2025-01-30,75,General
537,1,9270,2025-01-30,150,Early Bird
538,1,2245,2025-01-30,150,General
539,1,4869,2025-01-30,100,General
540,1,3600,2025-01-30,75,General
541,1,2392,2025-01-30,100,VIP
542,1,2976,2025-01-30,200,Early Bird
543,1,1286,2025-01-30,50,VIP
544,1,1330,2025-01-30,100,Early Bird
545,1,2372,2025-01-30,50,General
546,1,4569,2025-01-30,100,VIP
547,1,6130,2025-01-30,100,VIP
548,1,2483,2025-01-30,75,VIP
549,1,7511,2025-01-30,50,Early Bird
550,1,3301,2025-01-30,50,VIP
551,1,7622,2025-01-30,100,Early Bird
552,1,6834,2025-01-30,50,General
553,1,3605,2025-01-30,100,VIP
554,1,7850,2025-01-31,50,Early Bird
555,1,9773,2025-01-31,150,VIP
556,1,7231,2025-01-31,50,VIP
557,1,8179,2025-01-31,150,Early Bird
558,1,547,2025-01-31,50,Early Bird
559,1,9138,2025-01-31,75,Early Bird
560,1,8484,2025-01-31,100,Early Bird
561,1,4099,2025-01-31,200,Early Bird
562,1,6765,2025-01-31,200,Early Bird
563,1,6835,2025-01-31,50,Early Bird
564,1,7503,2025-01-31,200,Early Bird
565,1,4664,2025-01-31,50,VIP
566,1,7206,2025-01-31,150,Early Bird
567,1,1420,2025-01-31,75,General
568,1,2482,2025-01-31,100,General
569,1,2524,2025-01-31,150,VIP
570,1,7194,2025-02-01,150,Early Bird
571,1,9005,2025-02-01,50,General
572,1,9174,2025-02-01,100,Early Bird
573,1,9750,2025-02-01,75,VIP
574,1,9686,2025-02-01,150,VIP
575,1,6391,2025-02-01,200,VIP
576,1,7600,2025-02-01,200,Early Bird
577,1,9846,2025-02-01,200,Early Bird
578,1,2934,2025-02-01,75,Early Bird
579,1,5118,2025-02-01,200,VIP
580,1,1596,2025-02-01,200,Early Bird
581,1,596,2025-02-01,150,VIP
582,1,2209,2025-02-01,200,VIP
583,1,1813,2025-02-01,200,VIP
584,1,6277,2025-02-01,50,VIP
585,1,2118,2025-02-01,100,Early Bird
586,1,95,2025-02-02,100,VIP
587,1,1610,2025-02-02,50,General
588,1,8406,2025-02-02,50,Early Bird
589,1,4403,2025-02-02,75,Early Bird
590,1,1773,2025-02-02,200,Early Bird
591,1,8033,2025-02-02,75,General
592,1,2877,2025-02-02,150,VIP
593,1,392,2025-02-02,75,Early Bird
594,1,9112,2025-02-02,150,Early Bird
595,1,8542,2025-02-02,50,VIP
596,1,8567,2025-02-02,50,General
597,1,8492,2025-02-02,150,General
598,1,3920,2025-02-02,150,Early Bird
599,1,3211,2025-02-02,50,General
600,1,4534,2025-02-02,200,Early Bird
601,1,6104,2025-02-02,200,VIP
602,1,7030,2025-02-03,75,VIP
603,1,3600,2025-02-03,100,General
604,1,6587,2025-02-03,150,Early Bird
605,1,1065,2025-02-03,75,General
606,1,5151,2025-02-03,200,Early Bird
607,1,1838,2025-02-03,100,VIP
608,1,2659,2025-02-03,100,Early Bird
609,1,5146,2025-02-03,50,VIP
610,1,91,2025-02-03,150,General
611,1,4558,2025-02-03,50,General
612,1,9633,2025-02-03,200,Early Bird
613,1,7964,2025-02-03,200,VIP
614,1,4322,2025-02-03,75,VIP
615,1,789,2025-02-03,200,Early Bird
616,1,5334,2025-02-03,100,General
617,1,7908,2025-02-03,50,VIP
618,1,9094,2025-02-03,150,VIP
619,1,3606,2025-02-03,100,Early Bird
620,1,3043,2025-02-03,200,Early Bird
621,1,9601,2025-02-03,150,VIP
622,1,2782,2025-02-03,150,VIP
623,1,7068,2025-02-03,50,VIP
624,1,5497,2025-02-03,150,VIP
625,1,6996,2025-02-03,75,General
626,1,4412,2025-02-03,100,VIP
627,1,8052,2025-02-03,150,VIP
628,1,2211,2025-02-04,150,VIP
629,1,8121,2025-02-04,100,Early Bird
630,1,9644,2025-02-04,50,Early Bird
631,1,198,2025-02-04,150,VIP
632,1,5101,2025-02-04,100,General
633,1,6548,2025-02-04,75,Early Bird
634,1,5821,2025-02-04,200,General
635,1,9917,2025-02-04,150,General
636,1,3313,2025-02-04,75,VIP
637,1,3907,2025-02-04,100,VIP
638,1,987,2025-02-04,150,General
639,1,7269,2025-02-04,75,VIP
640,1,613,2025-02-04,100,Early Bird
641,1,163,2025-02-04,100,General
642,1,1380,2025-02-04,50,VIP
643,1,5790,2025-02-04,100,Early Bird
644,1,6375,2025-02-04,200,VIP
645,1,8273,2025-02-04,75,General
646,1,2424,2025-02-05,50,Early Bird
647,1,6983,2025-02-05,150,General
648,1,8872,2025-02-05,75,General
649,1,2477,2025-02-05,75,General
650,1,8975,2025-02-05,100,General
651,1,278,2025-02-05,150,VIP
652,1,9940,2025-02-05,150,Early Bird
653,1,8061,2025-02-05,150,VIP
654,1,8258,2025-02-05,150,General
655,1,459,2025-02-05,100,Early Bird
656,1,222,2025-02-05,50,VIP
657,1,4538,2025-02-05,50,General
658,1,4039,2025-02-05,50,General
659,1,4628,2025-02-05,100,Early Bird
660,1,4077,2025-02-05,50,General
661,1,303,2025-02-05,100,Early Bird
662,1,434,2025-02-05,100,Early Bird
663,1,5512,2025-02-05,200,Early Bird
664,1,3818,2025-02-05,150,General
665,1,7383,2025-02-05,50,Early Bird
666,1,8138,2025-02-05,50,General
667,1,7108,2025-02-05,150,Early Bird
668,1,9732,2025-02-05,200,VIP
669,1,6490,2025-02-06,150,Early Bird
670,1,4628,2025-02-06,150,Early Bird
671,1,3503,2025-02-06,75,General
672,1,4249,2025-02-06,50,General
673,1,3894,2025-02-06,200,Early Bird
674,1,3234,2025-02-06,100,VIP
675,1,7688,2025-02-06,50,VIP
676,1,238,2025-02-06,150,General
677,1,4147,2025-02-06,150,VIP
678,1,5841,2025-02-06,75,Early Bird
679,1,1009,2025-02-06,150,General
680,1,4534,2025-02-06,75,Early Bird
681,1,6697,2025-02-06,50,General
682,1,2394,2025-02-06,50,General
683,1,3147,2025-02-06,200,VIP
684,1,3571,2025-02-06,75,Early Bird
685,1,5683,2025-02-06,150,VIP
686,1,6684,2025-02-06,75,VIP
687,1,6555,2025-02-06,100,Early Bird
688,1,7798,2025-02-06,200,Early Bird
689,1,7802,2025-02-07,150,Early Bird
690,1,2947,2025-02-07,50,VIP
691,1,5753,2025-02-07,200,VIP
692,1,8508,2025-02-07,75,VIP
693,1,6525,2025-02-07,100,Early Bird
694,1,8152,2025-02-07,75,VIP
695,1,5817,2025-02-07,75,General
696,1,2683,2025-02-07,200,Early Bird
697,1,5210,2025-02-07,75,Early Bird
698,1,7197,2025-02-07,100,VIP
699,1,648,2025-02-07,100,VIP
700,1,3481,2025-02-07,50,General
